dataset,filename,resize_percent,PSNR,SSIM,BRISQUE,NIQE
dataset2,uieb_26_img_.png,25,28.03770029744129,0.5882522956861251,,59.052423382449334
dataset2,uieb_26_img_.png,50,28.052512484059857,0.6284374543220914,,59.03330605606855
dataset2,uieb_26_img_.png,75,28.049526959650194,0.6546413875576491,,58.81996825256724
dataset2,uieb_26_img_.png,100,28.053416559458103,0.6620681015893591,,58.81064158878297
dataset2,uieb_28_img_.png,25,29.735818294860373,0.9490594866965971,,12.972520460195618
dataset2,uieb_28_img_.png,50,29.736445648110916,0.9540356608862552,,12.981813127033703
dataset2,uieb_28_img_.png,75,29.73537333549803,0.9567058326382216,,13.07136640809545
dataset2,uieb_28_img_.png,100,29.73615985554641,0.9584539643511251,,12.727821563083523
dataset2,uieb_305_img_.png,25,30.969887771517357,0.9600081185250223,,74.10948193990302
dataset2,uieb_305_img_.png,50,30.93524739646004,0.9629626232302362,,73.56810211125514
dataset2,uieb_305_img_.png,75,30.947351156818716,0.9643352198515427,,73.46603691793229
dataset2,uieb_305_img_.png,100,30.93482960261894,0.9637143109551788,,71.88763620718566
dataset2,uieb_3202.png,25,28.203774271200835,0.9126890383081553,,98.39251360444246
dataset2,uieb_3202.png,50,28.204994356169237,0.9206640336099287,,98.42476330895724
dataset2,uieb_3202.png,75,28.203888917386912,0.92575513355878,,98.5277522063798
dataset2,uieb_3202.png,100,28.207553848883965,0.9289013529226845,,98.441648233181
dataset2,uieb_343_img_.png,25,28.14580385986624,0.8964035940798198,,61.77865763741429
dataset2,uieb_343_img_.png,50,28.132133273345804,0.9046876780768011,,62.0755808875959
dataset2,uieb_343_img_.png,75,28.145000739556178,0.9083222428151038,,61.929714854964814
dataset2,uieb_343_img_.png,100,28.145961092836963,0.908736488102247,,61.14457654377656
dataset2,uieb_346_img_.png,25,28.4310289321365,0.9413600637530849,,47.67384352545399
dataset2,uieb_346_img_.png,50,28.445254997662587,0.9442030795856041,,47.69690459664762
dataset2,uieb_346_img_.png,75,28.42385235502265,0.9446207287837317,,47.70239664280593
dataset2,uieb_346_img_.png,100,28.33132401229776,0.9428071874987275,,46.1844532096883
dataset2,uieb_348_img_.png,25,28.01357733898783,0.7443009462151394,,64.51889534732925
dataset2,uieb_348_img_.png,50,28.04758478668999,0.7833016523495406,,65.40670773443175
dataset2,uieb_348_img_.png,75,28.05204426074797,0.8068390002528512,,65.14778535379814
dataset2,uieb_348_img_.png,100,28.04200783417872,0.8195554089858255,,64.72455216626163
dataset2,uieb_353_img_.png,25,27.714276842691866,0.6896618068331001,,73.79168621319819
dataset2,uieb_353_img_.png,50,27.727685292670184,0.6734274901939014,,73.58319057534756
dataset2,uieb_353_img_.png,75,27.75224085777323,0.6690384536065158,,73.64139645331808
dataset2,uieb_353_img_.png,100,27.858964842930156,0.6596361060499859,,72.48545680264193
dataset2,uieb_367_img_.png,25,29.15619726623405,0.9295384793963178,,30.73787562948818
dataset2,uieb_367_img_.png,50,29.205986607206338,0.9268119532747069,,30.521054208789437
dataset2,uieb_367_img_.png,75,29.158554517864353,0.9262341257046212,,30.475590676141458
dataset2,uieb_367_img_.png,100,29.094998159860808,0.9262787459792795,,29.630830928668864
dataset2,uieb_387_img_.png,25,28.031254789062817,0.5132732995818217,,125.12193666931458
dataset2,uieb_387_img_.png,50,28.013205572245216,0.5311161931853018,,125.08062311457627
dataset2,uieb_387_img_.png,75,28.01575129269869,0.5404834896816563,,125.03571652625945
dataset2,uieb_387_img_.png,100,28.02493752883692,0.5454951368895732,,124.6234874991282
dataset2,uieb_393_img_.png,25,27.845080208965914,0.7217206682495384,,35.26758260147432
dataset2,uieb_393_img_.png,50,27.843683726996503,0.7262379141015503,,35.38150711012708
dataset2,uieb_393_img_.png,75,27.837885683225654,0.7374506318141782,,35.25345980318239
dataset2,uieb_393_img_.png,100,27.838983445616023,0.7425541982638462,,35.237421412009795
dataset2,uieb_406_img_.png,25,27.978814753537943,0.839329557164695,,50.375304758267845
dataset2,uieb_406_img_.png,50,27.967175702872915,0.8613157208468359,,50.37552753284782
dataset2,uieb_406_img_.png,75,27.96681140538069,0.8723293999938836,,50.14357348676149
dataset2,uieb_406_img_.png,100,27.969434777389086,0.8785157507828014,,50.12139009590388
dataset2,uieb_415_img_.png,25,27.51587999957995,0.931395945228959,,54.92646839459996
dataset2,uieb_415_img_.png,50,27.51244876853451,0.9346250686281127,,55.00776189313365
dataset2,uieb_415_img_.png,75,27.51776212965572,0.9352561988402591,,54.81530316974042
dataset2,uieb_415_img_.png,100,27.52815280768534,0.9343623758205913,,53.71199344050909
dataset2,uieb_417_img_.png,25,27.993478648630695,0.8116276047412032,,71.31246212780096
dataset2,uieb_417_img_.png,50,27.994915308218665,0.8425209204421357,,71.28991615440873
dataset2,uieb_417_img_.png,75,27.990797004718285,0.8586100815848731,,71.19648968044564
dataset2,uieb_417_img_.png,100,27.997845991332465,0.8654121361001338,,70.92317861822954
dataset2,uieb_419_img_.png,25,28.41409139406673,0.8499129722858211,,96.48252574157675
dataset2,uieb_419_img_.png,50,28.403436759030896,0.8674115816871019,,96.37083092036498
dataset2,uieb_419_img_.png,75,28.410392227442543,0.8774113572449682,,96.49897889987004
dataset2,uieb_419_img_.png,100,28.417492999998316,0.8830901787862798,,96.31469236614062
dataset2,uieb_421_img_.png,25,32.21793482269591,0.9609701469496336,,76.39311864453026
dataset2,uieb_421_img_.png,50,32.26613679880599,0.9641625098014267,,77.08583798703434
dataset2,uieb_421_img_.png,75,32.21565226350832,0.9653238976303623,,77.04691305520777
dataset2,uieb_421_img_.png,100,32.12335429648777,0.9663983038844933,,76.2277892928273
dataset2,uieb_425_img_.png,25,28.31640813936477,0.9082615577493885,,34.28145934840889
dataset2,uieb_425_img_.png,50,28.321316945102986,0.9153513305122775,,34.24711419112427
dataset2,uieb_425_img_.png,75,28.321918149837188,0.9192248778136971,,34.37995173188109
dataset2,uieb_425_img_.png,100,28.328899086443883,0.9219948357598433,,34.2120554446218
dataset2,uieb_463_img_.png,25,28.412184113688987,0.819949946643694,,51.10780240916248
dataset2,uieb_463_img_.png,50,28.421281185326485,0.8268862142087336,,50.93473080807973
dataset2,uieb_463_img_.png,75,28.42484876267219,0.8351627771524115,,50.729916700315606
dataset2,uieb_463_img_.png,100,28.394570401393366,0.8375731642233938,,49.418017782823114
dataset2,uieb_481_img_.png,25,28.205719727667663,0.8655159838451517,,55.08031181441963
dataset2,uieb_481_img_.png,50,28.19977936304172,0.88218499787836,,55.40946949705828
